根据law_schema.sql文件中的表结构信息，生成的查询结果如下：

TABLE_NAME	COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	IS_NULLABLE
------------------------------------------------------------------------------
tb_login_record	id	bigint		NO
tb_login_record	user_id	bigint		YES
tb_login_record	user_account	varchar	50	YES
tb_login_record	user_name	varchar	100	YES
tb_login_record	login_type	varchar	10	YES
tb_login_record	login_ip	varchar	50	YES
tb_login_record	login_location	varchar	200	YES
tb_login_record	login_device	varchar	200	YES
tb_login_record	login_browser	varchar	100	YES
tb_login_record	login_os	varchar	50	YES
tb_login_record	login_status	varchar	20	YES
tb_login_record	error_msg	varchar	500	YES
tb_login_record	risk_level	varchar	20	YES
tb_login_record	is_known_device	varchar	20	YES
tb_login_record	login_time	datetime		YES
tb_login_record	is_deleted	tinyint		YES
tb_login_record	create_time	datetime		YES
tb_login_record	update_time	datetime		YES
tb_login_record	create_user_id	bigint		YES
tb_login_record	update_user_id	bigint		YES
------------------------------------------------------------------------------
tb_token	id	bigint		NO
tb_token	user_id	bigint		NO
tb_token	token_type	char	1	NO
tb_token	token_value	varchar	500	NO
tb_token	device_id	varchar	200	YES
tb_token	device_info	varchar	500	YES
tb_token	ip_address	varchar	50	YES
tb_token	expire_time	datetime		NO
tb_token	create_time	datetime		YES
tb_token	revoke_time	datetime		YES
tb_token	status	varchar	20	YES
tb_token	is_deleted	tinyint		YES
tb_token	update_time	datetime		YES
tb_token	create_user_id	bigint		YES
tb_token	update_user_id	bigint		YES
------------------------------------------------------------------------------
tb_user	id	bigint		NO
tb_user	username	varchar	50	NO
tb_user	password	varchar	100	NO
tb_user	real_name	varchar	50	NO
tb_user	mobile	varchar	20	YES
tb_user	email	varchar	100	YES
tb_user	phone	varchar	20	YES
tb_user	is_valid	char	1	YES
tb_user	status	varchar	20	YES
tb_user	login_type	char	1	YES
tb_user	bind_device	varchar	500	YES
tb_user	last_login_time	datetime		YES
tb_user	last_login_ip	varchar	50	YES
tb_user	login_count	int		YES
tb_user	pwd_error_count	int		YES
tb_user	pwd_error_time	datetime		YES
tb_user	pwd_expire_time	datetime		YES
tb_user	is_deleted	tinyint		YES
tb_user	create_time	datetime		YES
tb_user	update_time	datetime		YES
tb_user	create_user_id	bigint		YES
tb_user	update_user_id	bigint		YES
